,Title,sentiment

2,Go to @sushrimayawati: More of compulsion than endorsement of social media,positive
3,"Go to So, Congress BJP’s main adversary?",positive
4,Go to ET Editorials,neutral
5,"Go to So, Congress BJP’s main adversary?",positive
6,"Go to Political paradox: BJP and Congress pour invective on each other, but their policies mirror each other",negative
7,Go to TOI Editorials,neutral
8,"Go to Political paradox: BJP and Congress pour invective on each other, but their policies mirror each other",negative
10,Go to Narad Muni,neutral
12,Go to Mamata Banerjee and the politics of West Bengal,neutral
13,Go to Folk Theorem,neutral
15,Go to India can do without a federal face-off,neutral
18,"Go to Failing the people: Opinion polls show neither BJP nor Congress winning, because neither is offering a jobs solution",positive
20,"Go to Failing the people: Opinion polls show neither BJP nor Congress winning, because neither is offering a jobs solution",positive
21,Go to What about Robert Vadra?,neutral
22,Go to Strategic Insights,neutral
24,Go to Reimagine BJP: The party needs to accept India is too complicated and diverse for Hindutva’s divisive appeal,negative
25,Go to TOI Editorials,neutral
26,Go to Reimagine BJP: The party needs to accept India is too complicated and diverse for Hindutva’s divisive appeal,negative
27,Go to Grand-daughter central: Coming ’round the molehill,negative
28,Go to Red Herring,neutral
29,Go to Grand-daughter central: Coming ’round the molehill,negative
30,Go to Rally against. But rally for?,neutral
31,Go to ET Commentary,neutral
32,Go to Rally against. But rally for?,neutral
33,Go to No longer bar for adult Mumbaikars,positive
34,Go to ET Editorials,neutral
36,Go to Eggs controversy in Chhattisgarh schools illustrates how education policy fails India,negative
39,"Go to 2019: A scary story — The election outcome that’s terrifying for India, BJP and Congress",negative
42,Go to Disinvest With Interest,neutral
45,Go to Challenge for BJP in state with most seats,positive
48,Go to Defection drama: BJP will really slug it out with TMC in the Lok Sabha polls,positive
51,Go to Battle line for the next Lok Sabha polls,neutral
54,Go to Next two months are crucial before LS polls,neutral
55,Go to Politics First,positive
57,Go to What Rahul brings to the table,neutral
58,Go to Extraordinary Issue,positive
59,Go to What Rahul brings to the table,neutral
60,Go to Mamata’s power play: SC order on CBI standoff in Bengal gives face saver to both BJP and Mamata,neutral
61,"Go to Job data’s bad, but do not assume Modi will lose",negative
62,Go to Rahul Gandhi – Congenital Liar or Simply Delusional?,neutral
63,"Go to Playing: Split screen movie: Love her or hate her, you cannot ignore Priyanka Gandhi Vadra",negative
64,"Go to If government’s extradition against Vijay Mallya is successful, it will be a milestone",positive
65,"Go to It’s just one straw, said 8 billion people",neutral
66,Go to Interim Budget 2019 – Style and substance,neutral
67,Go to Calling wife prostitute is grave provocation- some ruminations,neutral
