cleaned_text,created_at,follower_count,profile_image,retweets,sentiment,text,tweet_id,user_name,user_url,Metro
Listen to him He is the senior most Congress MP from West Bengal Shri Adhir Ranjan Chowdhury Now Rahul Gandhi ji &amp Cong…,2019-02-06 23:59:54,3641,https://pbs.twimg.com/profile_images/1093353638699839488/QXDJz3WD_normal.jpg,2601.0,positive,"@KirenRijiju: Listen to him. He is the senior most Congress MP from West Bengal Shri Adhir Ranjan Chowdhury. Now, Rahul Gandhi ji &amp; Cong…",1.0932982679228006e+18,Narendra Lowanshi 🇮🇳,https://twitter.com/n2r3ndr2,Bengaluru
"Yesterday he opposed the conversion activity done by Muslims in a Dalit colony Today he got MURDERED His name was Ramalingam,…",2019-02-06 23:59:39,117,https://pbs.twimg.com/profile_images/797806250507567105/JhoA1NCo_normal.jpg,5529.0,neutral,"@mvmeet: Yesterday he opposed the conversion activity done by Muslims in a Dalit colony

Today he got MURDERED

His name was Ramalingam,…",1.0932982062203453e+18,P Ramesh,https://twitter.com/Panatala_Ramesh,Bengaluru
Priyanka Gandhi is the new Taimur Ali Khan of Indian politics Brilliant one by,2019-02-06 23:58:54,1417,https://pbs.twimg.com/profile_images/982525584671690752/ujaXXwsz_normal.jpg,1228.0,positive,@nirwamehta: Priyanka Gandhi is the new Taimur Ali Khan of Indian politics. Brilliant one by @mitraphoenix https://t.co/GhIbVZNAZz,1.093298018890113e+18,narendra singh,https://twitter.com/SinghNarendradr,Delhi
"Yesterday he opposed the conversion activity done by Muslims in a Dalit colony Today he got MURDERED His name was Ramalingam,…",2019-02-06 23:58:06,368,https://pbs.twimg.com/profile_images/848255196182355968/6ZCC6Nwf_normal.jpg,5529.0,neutral,"@mvmeet: Yesterday he opposed the conversion activity done by Muslims in a Dalit colony

Today he got MURDERED

His name was Ramalingam,…",1.0932978146106696e+18,संघ शक्ति,https://twitter.com/tushar2085,Kolkata
Priyanka Gandhi is the new Taimur Ali Khan of Indian politics Brilliant one by,2019-02-06 23:57:56,8091,https://pbs.twimg.com/profile_images/941672481613639680/rPafcJ9n_normal.jpg,1228.0,positive,@nirwamehta: Priyanka Gandhi is the new Taimur Ali Khan of Indian politics. Brilliant one by @mitraphoenix https://t.co/GhIbVZNAZz,1.0932977752095334e+18,Ashok “अशोक”,https://twitter.com/NaharAshok,Bengaluru
"Yesterday he opposed the conversion activity done by Muslims in a Dalit colony Today he got MURDERED His name was Ramalingam,…",2019-02-06 23:57:43,40,https://pbs.twimg.com/profile_images/848879166128881664/FRdSenk8_normal.jpg,5529.0,neutral,"@mvmeet: Yesterday he opposed the conversion activity done by Muslims in a Dalit colony

Today he got MURDERED

His name was Ramalingam,…",1.0932977193959588e+18,Posh Troll,https://twitter.com/Maximbull1,Bengaluru
Priyanka Gandhi is the new Taimur Ali Khan of Indian politics Brilliant one by,2019-02-06 23:57:22,147,https://pbs.twimg.com/profile_images/921403136/DSC00118_normal.JPG,1228.0,positive,@nirwamehta: Priyanka Gandhi is the new Taimur Ali Khan of Indian politics. Brilliant one by @mitraphoenix https://t.co/GhIbVZNAZz,1.0932976312902164e+18,Anshumaan Malethia,https://twitter.com/Anshumaan06,Hyderabad
राहु गांध स 4 सवा पू BJP न बोल हमला ए रोडपत स करोड़पत कैस ब ग रॉबर् वाड्रा NDTV,2019-02-06 23:57:06,186,https://pbs.twimg.com/profile_images/694500269686550529/brqcNP94_normal.jpg,1703.0,neutral,@sambitswaraj: राहुल गांधी से 4 सवाल पूछ BJP ने बोला हमला: एक रोडपति से करोड़पति कैसे बन गए रॉबर्ट वाड्रा? - NDTV https://t.co/nDj5EfN5oG,1.093297563724202e+18,Kashyap Chandan Kumar🇮🇳,https://twitter.com/BITEE07_CHANDAN,Mumbai
"Yesterday he opposed the conversion activity done by Muslims in a Dalit colony Today he got MURDERED His name was Ramalingam,…",2019-02-06 23:56:03,2657,https://pbs.twimg.com/profile_images/1006017541930700800/VjzBkUzn_normal.jpg,5529.0,neutral,"@mvmeet: Yesterday he opposed the conversion activity done by Muslims in a Dalit colony

Today he got MURDERED

His name was Ramalingam,…",1.093297299831341e+18,Kamlesh Chaurasia,https://twitter.com/Yuva_Bharat1,Delhi
"All you wanted to know about the Rs 2,000 crore #NationalHerald property court case against ⁦ &amp Sonia Gand…",2019-02-06 23:55:47,30,https://pbs.twimg.com/profile_images/952675914890010626/IdeQfrs3_normal.jpg,977.0,neutral,"@MinhazMerchant: All you wanted to know about the Rs 2,000 crore  #NationalHerald property court case against ⁦@RahulGandhi &amp; Sonia Gand…",1.0932972349874135e+18,Ravi Chouhan,https://twitter.com/ravi_chouhan,Hyderabad
